â,آ
ahzüi'tâ,اخذ و عطا
ahzükabz,اخذ و قبض
âid,عائد
âidât,عائدات
âide,عائده
â'ik,عائق
âika,عائقه
âile,عائله
ailevî,عائلوی
âjeng,آژنگ
âk,عاق
akab,عقب
akabât,عقبات
akabe,عقبه
akâid,عقائد
akâmet,عقامت
akar,عقار
akarât,عقرات
akbeh,اقبح
akd,عقد
akdâh,اقداح
akdâm,اقدام
akdem,اقدم
akdes,اقدس
akıbet,عاقبت
âkıbetbîn,عاقبت بين
âkıbetendîş,عاقبت اندیش
âkıbetülemr,عاقبت الامر
akıl,عقل
âkıl,عاقل
âkılâne,عاقل
âkıle,عاقله
âkır,عاقر
âkid,عاقد
akîde,عقيده
akîdefurûş,عقيده فروش
akîk,عقيق
âkil,آكل
akîm,عقيم
akis,عكس
akl,عقل
aklâm,اقلام
aklen,اقلا
akl-ı bâliğ,عقل بالغ
akl-ı evvel,عقل اول
akl-ı küll,عقل كل
akl-ı mücerred,عقل مجرد
akl-ı selim,عقل سليم
aklıselim,عقل سليم
aklî,عقلى
akliyye,عقليه
akliyyûn,عقليون
akm,عقم
akmâr,اقمار
akmişe,اقمشه
akrabâ,اقرباء
akran,اقران
akreb,اقرب
akreb,عقرب
akrebek,عقربك
aks,عكس
aksâ,اقصى
aksâm,اقسام
aksâm-ı sâire,اقسام سائره
aksâ-yı emel,اقصای امل
aksâ-yı şark,اقصای شرق
akser,اقصر
aksî,عكسى
aks-i müddeâ,عكس مدعا
aks-i sedâ,عكس صدا
aksülamel,عكس العمل
aktâ',اقطاع
aktâb,اقطاب
aktâr,اقطار
aktâr-ı cihân,اقطار جهان
akûr,عقور
akûrâne,عقورانه
akvâl,اقوال
akvâm,اقوام
akviyâ,اقویا
âl,آل
âl,عال
alâ,علاء
alâ,على
a'lâ,اعلى
alâeyyihâl,على ای حال
a'lâf,آلاف
âlâf,آلاف
alâhide,عليحده
alâik,علائق
alâim,علائم
alâim-i semâ,علائم سما
alak,علق
alâka,علاقه
alâkabahş,علاقه بخش
alâkadar,علاقه دار
alakadârân,علاقه داران
alâkadrilimkân,علاقدرالامكان
a'lâl,اعلال
a'lâm,اعلام
âlâm,آلام
alâmât,علامات
alâmet,علامت
âlât,آلات
alâvechi,علِى وجه
alâvefk,على وفق
âlâyiş,آلایش
aleddevam,على الدوام
alef,علف
aleka,علقه
alelacele,على العجله
alelâde,على العاده
alelamyâ,على العميا
alelekser,على الاكثر
alelhusûs,على الخصوص
alelıtlâk,على الاطلاق
alelicmâl,على الاجمال
alelinfirâd,على الانفراد
alelistimrâr,على الاستمرار
aleliştirâk,على الاشتراک
alelkifâye,على الكفایه
alelumûm,على العموم
alem,علم
a'lem,اعلم
âlem,عالم
âlemârâ,عالم آرا
alemdâr,علمدار
âlemefrûz,عالم افروز
âlemgîr,عالمگير
âlemiyân,عالميان
âlemşümûl,علم شمول
âlemtâb,عالمتاب
alenen,علنا
alenî,علنى
âlet,آلت
alettafsîl,على التفصيل
alettevâlî,على التوالى
aleyh,عليه
aleyhdar,عليه دار
aleyhisselâm,عليه السلام
âlî,عالى
âlîcâh,عالى جاه
âlîcenâb,عالى جناب
âlihe,آلهه
âlîhimmet,عالى همت
âlîkadr,عالى قدر
alîl,عليل
alîm,عليم
âlim,عالم
âlîmakâm,عالى مقام
âlînazar,عالى نظر
âlîşan,عالى شان
âliye,عاليه
aliyyülâlâ,على الاعلا
allâh,اﷲ
allâme,علامه
âlû,آلو
âlûbâlu,آلوبالو
âlûd,آلود
âlûde,آلوده
âlûdedâmen,آلوده دامن
âlûdegî,آلودگى
âlüfte,آلفته
a'mâ,اعمى
âmâc,آماج
âmâcgâh,آماجگاه
âmâde,آماده
âmâdegî,آمادگى
a'mâk,اعماق
a'mâl,اعمال
a'mâl,اعمال
âmâl,آمال
âmâl,آمال
a'mâr,اعمار
âmâr,آمار
amd,عمد
amden,عمدا
âmed,آمد
âmedşüd,آمدشد
âmedüreft,آمدورفت
âmedüşüd,آمدوشد
amel,عمل
amele,عمله
amelen,عملا
amelî,عملى
ameliyât,عمليات
ameliye,عمليه
âmennâ,آمنا
âmîhte,آميخته
amîk,عميق
âmil,عامل
amîm,عميم
âmîn,آمن
âminen,آمنا
âmir,آمر
âmirâne,آمرانه
âmiyâne,عاميانه
amm,عم
âmm,عام
âmm,عام
ammâ,اما
ammâba'd,امابعد
amme,عمه
amûd,عمود
amûden,عمودا
amûdî,عمودی
âmurziş,آمرزش
âmûz,آموز
âmûzgâr,آموزگار
âmürzgâr,آمرزگار
âmürziş,آمرزش
an,عن
ân,ان
ân,آن
ân,آن
ânân,آنان
an'anât,عنعنات
an'ane,عنعنه
an'anevî,عنعنوی
anâsır,عناصر
anâsır-ı erba'a,عناصر اربعه
ânât,آنات
anbean,آن به آن
anber,عنبر
anberbû,عنبربو
andelîb,عندليب
âne,انه
anh,عنه
anhâ,عنها
anhâ,آنها
a'nî,اعنى
ânî,آنى
ânifen,آنفا
âniyen,آنيا
ankâ,عنقا
ankarîb,عن قریب
ankasdin,عن قصد
ankebût,عنكبوت
ansamîmilkalb,عن صميم القلب
anûd,عنود
âr,عار
ârâ,آرا
ârâ',آراء
arab,عرب
a'râb,اعراب
arabî,عربى
a'râbî,اعرابى
arâ'is,عرائس
arak,عرق
arakçîn,عرقچين
arakdâr,عرقدار
arakıyye,عرقيه
ârâm,آرام
ârâmbahş,آرام بخش
ârâmgâh,آرامگاه
ârâmiş,آرامش
ar'ar,عرعر
ârâste,آراسته
ârâyiş,آرایش
araz,عرض
a'râz,اعراض
arâzî,اراضى
arbede,عربده
arbedecû,عربده جو
ard,آرد
ardbîz,آردبيز
arefe,عرفه
ârız,عارض
ârızî,عارضى
ârî,عاری
ârî,آری
ârif,عارف
âriyyet,عاریت
arîz,عریض
arman,آرمان
arsa,عرصه
arş,عرش
arşa,عرشه
arûs,ﻋﺮوس
arz,ارض
arz,عرض
arz,عرض
arzan,ارضا
arzıhâl,ارض حال
ârzû,آرزو
asâ,عصا
âsâ,آسا
asab,عصب
a'sâb,اعصاب
asabî,عصبى
asabiyülmizac,عصبى المزاج
asabiyyet,عصبيت
âsaf,آصف
asâkir,عساكر
asalet,اصالت
asamm,اصم
âsân,آسان
a'sâr,اعصار
âsâr,آثار
âsâyiş,آسایش
âsâyiş berkemâl,آسایش بركمال
asdika,اصدقا
asel,عسل
ases,عسس
asfer,اصفر
asgar,اصغر
asgarî,اصغری
ashâb,اصحاب
âsım,عاصم
asır ba'de asır,عصر بعد عصر
âsî,عاصى
âsîb,آسيب
asîl,اصيل
asîlzâde,اصيل زاده
asîr,عصير
âsitan,آستان
âsiyâ,آسيا
âsiyâb,آسياب
asker,عسكر
asl,اصل
asla,اصلا
aslî,اصلى
aslünesl,اصل و نسل
âsmân,آسمان
âsmânî,آسمانى
asnâm,اصنام
asr,عصر
asrî,عصری
âstân,آستان
âstâne,آستانه
âster,آستر
âstîn,آستين
âsûde,آسوده
âsûdegî,آسودگى
âsûdehâtır,آسوده خاطر
âsüman,آسمان
âş,آش
âşâm,آشام
a'şâr,اعشار
a'şârî,اعشاری
aşer,عشر
aşere,عشره
aşhâne,آشخانه
âşık,عاشق
âşıkân,عاشقان
âşifte,آشفته
âşikâr,آشكار
âşikâre,آشكاره
âşina,آشنا
aşîr,عشير
âşir,عاشر
âşiren,عاشرا
âşiyân,آشيان
aşk,عشق
âşkâr,آشكار
âşkârâ,آشكارا
âşnâ,آشنا
âşnâyân,آشنایان
âşnâyî,آشنایى
âşpez,آشپز
aşre,عشره
âşûb,آشوب
âşûbengîz,آشوب انگيز
âşûrâ,عاشورا
âşüfte,آشفته
âşüftedil,آشفته دل
ât,ات
atâ,عطاء
atâbahş,عطا بخش
atâlet,عطالت
ataş,عطش
atâyâ,عطایا
atebât,عتبات
atebe,عتبه
ateh,عته
âteş,آتش
âteşbâr,آتش بار
âteşbâz,آتشباز
âteşdân,آتشدان
âteşdem,آتش دم
âteşefrûz,آتش افروز
âteşfâm,آتش فام
âteşfeşân,آتش فشان
âteşgâh,آتشگاه
âteşgede,آتشگده
âteşgîre,آتش گيره
âteşgûn,آتش گون
âteşî,آتشى
âteşîn,آتشين
âteşkâr,آتش كار
âteşmizâc,آتش مزاج
âteşpâre,آتش پاره
âteşperest,آتش پرست
atf,عطف
atfen,عطفا
âtıf,عاطف
âtıfet,عاطفت
âtıfetkâr,عاطفتكار
âtıl,عاطل
âtî,آتى
atîk,عتيق
atîka,عتيقه
atîkiyyât,عتيقيات
at'ime,اطعمه
âtiye,آتيه
âtiyen,آتيا
âtiyülbeyân,آتى البيان
âtiyüzzikr,آتى الذكر
atiyyât,عطيات
atiyye-i seniyye,عطيهء سنيه
atlas,اطلس
atnâb,اطناب
ats,عطس
atse,عطسه
atş,عطش
atşân,عطشان
attar,عطار
attârî,عطاری
atûfet,عطوفت
avâid,عوائد
avâkıb,عواقب
avâlim,عوالم
avâm,عوام
avâmil,عوامل
avâmpesend,عوام پسند
avân,اوان
âvâre,آواره
âvâreser,آواره سر
avârız,عوارض
avârif,عوارف
âvâz,آواز
âvâze,آوازه
avdet,عودت
a'vec,اعوج
avene,عونه
a'ver,اعور
âvîze,آویزه
avn,عون
avrât,عورات
avret,عورت
âyâ,آیا
a'yâd,اعياد
ayân,عيان
a'yân,اعيان
ayâr,عيار
âyât,آیات
ayb,عيب
âyet,آیت
âyîn,آیين
âyine,آینه
âyînhân,آیين خوان
ayn,عين
aynen,عينا
ayniyye,عينيه
ayniyyet,عينيت
aynülyakîn,عين اليقين
ayş,عيش
a'yün,اعين
ayyâr,عيار
ayyârî,عياری
a'zâ,اعضا
azab,عزب
azâb,عذاب
azâbengiz,عذاب انگيز
âzâd,آزاد
âzâde,آزاده
âzâdî,آزادی
a'zam,اعظم
azamet,عظمت
âzâr,آزار
azdâd,اضداد
âzer,آذر
âzerâsâ,آذرآسا
azil,عزل
azîm,عظيم
âzim,عازم
azîmet,عزیمت
aziz,عزیز
azîzan,عزیزان
azîze,عزیزه
azl,عزل
azm,عزم
azm,عظم
âzmâyiş,آزمایش
âzmend,آزمند
azrâ,عذرا
azrâil,عزدائيل
azrar,اضرار
azulât,عضلات
âzürde,آزرده
bâ,با
bâb,باب
bâbâ,بابا
bâbâyâne,بابایانه
bâbûne,بابونه
bâc,باج
bâcgîr,باجگير
bâd,باد
bâdâm,بادام
bâdbân,بادبان
bâdbedest,بادبدست
bâdbîz,بادبيز
ba'de,بعد
bâde,باده
bâdefürûş,باده فروش
bâdehâr,باده خوار
ba'dehu,بعده
bâdekeş,باده كش
ba'delmîlâd,بعدالميلاد
ba'demâ,بعدما
bâdenûş,باده نوش
ba'dezin,بعدازاین
bâdî,بادی
bâdire,بادره
bâdiye,بادیه
bâğ,باغ
bağal,بغل
bâğbân,باغبان
bâğçe,باغچه
bağçevan,باغچوان
bağteten,بغتة
bâh,باه
bahâ,بها
bâhaber,باخبر
bahâdar,بهادار
bahâdır,بهادر
bahâne,بهانه
bahânecû,بهانه جو
bahâr,بهار
bahârî,بهاری
bahâyim,بهایم
bahîl,بخيل
bâhired,باخرد
bahis,بحث
bâhis,باحث
bahr,بحر
bahr-i ahdar,بحر احضر
bahr-i ahmer,بحر احمر
bahr-i hazer,بحر خزر
bahr-i kulzum,بحر قلزم
bahr-i muhît-i atlasî,بحر محيط اطلسى
bahr-i muhît-i kebîr,بحر محيط كبير
bahr-i mutavassıt,بحر متوسط
bahr-i siyâh,بحر سياه
bahs,بحث
bahş,بخش
bahşâyiş,بخشایش
bahşiş,بخشش
baht,بخت
bahtiyârî,بختياری
bâhûr,باخور
bâhusus,باخصوص
baîd,بعيد
bâis,باعث
bâjurnal,باژورنال
bâk,باک
bakâyâ,بقایا
bakıyye,بقيه
bâkî,باقى
bâkir,باكر
bâkire,باكره
bâl,بال
bâlâ,بالا
bâlâbülend,بالابلند
bâlâhâne,بالاخانه
bâlâpervaz,بالاپرواز
bâliğ,بالغ
bâlîn,بالين
bâliş,بالش
bâm,بام
bâmazbata,بامضبطه
bâmdâd,بامداد
bâmukâvele,بامقاوله
bâng,بانگ
bânû,بانو
bâr,بار
bârân,باران
bârapor,باراپور
bârber,باربر
bâre,باره
bârgâh,بارگاه
bârgîr,بارگير
bârî,باری
bârid,بارد
bârîk,باریك
bârika,بارقه
bâriz,بارز
bârû,بارو
bârver,بارور
ba's,بعث
basar,بصر
basîret,بصيرت
basît,بسيط
bast,بسط
ba'süba'delmevt,بعث بعد الموت
batâet,بطائت
bâtakrîr,باتقریر
bâtıl,باطل
batın,بطن
bâtınen,باطنا
batî,بطى
batn,بطن
batt,بط
battal,بطال
bâvekar,باوقار
bâyi,بایع
bayrakdâr,بيدقدار
baytâr,بيطار
bâz,باز
ba'zan,بعضا
bazargâh,بازارگاه
bazen,بعضا
bazı,بعض
bâzî,بازی
bâzîçe,بازیچه
bâzû,بازو
bebr,ببر
becâ,بجا
becâyiş,بجایش
beççe,بچه
bed,بد
bedahd,بدعهد
bedâheten,بداهة
bedahlâk,بداخلاق
bedâvâz,بدآواز
bedâvet,بداوت
bedâyi',بدایع
bedbaht,بدبخت
bedbîn,بدبين
bedbû,بدبو
bedcins,بدجنس
bedçeşm,بدچشم
beddil,بددل
bedduâ,بددعا
bedelât,بدلات
bedendîş,بداندیش
bedenen,بدنا
bedestân,بزستان
bedevî,بدوی
bedeviyyet,بدویت
bedfercâm,بدفرجام
bedgû,بدگو
bedgüher,بدگهر
bedhâh,بدخواه
bedhû,بدخو
bedî',بدیع
bedîa,بدیعه
bedîhe,بدیهه
bedîhî,بدیهى
bedkâr,بدكار
bedlikâ,بدلقا
bedmâye,بدمایه
bedmest,بدمست
bedmestî,بدمستى
bedmihr,بدمهر
bednâm,بدنام
bednigâh,بدنگاه
bednihâd,بدنهاد
bedr,بدر
bedre,بدره
bedreftâr,بدرفتار
bedreka,بدرقه
bedrûd,بدرود
bedsigâl,بدسگال
bedsîret,بدسيرت
bedsirişt,بدسرشت
bedter,بدتر
bedtıynet,بدطينت
bedzebân,بدزبان
bedzehre,بدزهره
begâyet,بغایت
behâ,بها
behbûd,بهبود
behcet,بهجت
behem,بهم
behemehâl,بهه حال
beher,بهر
behic,بهيج
behîmî,بهيمى
behîmiyyet,بهيميت
behişt,بهشت
behiştî,بهشتى
behiyye,بهيه
behmân,بهمان
behre,بهره
behremend,بهرمند
beht,بهت
bekâ,بقا
bekâm,بكام
bekâya,بقایا
bekrî,بكری
beksimat,بكسمات
bel,بل
bel',بلع
belâ,بلا
belâ,بلى
belâdet,بلادت
belâdîde,بلادیده
belâgat,بلاغت
belâhet,بلاهت
belâyâ,بلایا
belde,بلده
beled,بلد
beledî,بلدی
belediyye,بلدیه
belî,بلى
belîğ,بليغ
beliyyât,بليات
belki,بلكه
belût,بلوط
benâdir,بنادر
benâm,بنام
benân,بنان
benât,بنات
bend,بند
bende,بنده
bendegân,بندگان
bendegî,بندگى
bendehâne,بنده خانه
bender,بندر
bendergâh,بندرگاه
bendezâde,بنده زاده
benefşe,بنفشه
benefşî,بنفشى
beng,بنگ
bengî,بنگى
benî,بنى
benîâdem,بنى آدم
benîisrâîl,بنى اسرائيل
bennâ,بناء
benû,بنو
ber,بر
berâber,برابر
berâberî,برابری
berâ'et,برائت
berâhîn,براهين
berâyı,برای
berâyı malûmât,برای معلومات
berbâd,برباد
bercâ,برجا
berceste,برجسته
berd,برد
berde,برده
berdevâm,بردوام
berdülacuz,بردالعجوز
bere,بره
berehne,برهنه
berekât,بركات
bereket,بركت
berevât,بروات
berf,برف
berfîn,برفين
berg,برگ
bergüzâr,برگذار
berhâne,برخانه
berhayât,برحيات
berhürdâr,برخوردار
berî,بری
berîd,برید
berîn,برین
berk,برق
berkarâr,برقرار
berkemâl,بزكمال
bermâh,برماه
bermûcib-i,برموجب
bermu'tâd,برمعتاد
bernâ,برنا
berpâ,برپا
berr,بر
berrak,براق
berren,برا
berrî,بری
bersâbık,برسابق
bertaraf,برطرف
berter,برتر
berterîn,برترین
bervech-i,بروجه
berzah,برزخ
berzger,برزگر
bes,بس
be's,بأس
besâ,بسا
besâtîn,بساتين
besend,بسند
besende,بسنده
beserüçeşm,بسر و چشم
besî,بسى
besîm,بسيم
beste,بسته
bestekâr,بسته كار
bestenigâr,بسته نگار
beşâret,بشارت
beşer,بشر
beşere,بشره
beşerî,بشری
beşeriyyât,بشریات
beşeriyyet,بشریت
beşîr,بشير
beşûş,بشوش
beşûşâne,بشوشانه
betâet,بطائت
beter,بدتر
bevl,بول
bevlî,بولى
bevliyye,بوليه
bevvâb,بواب
bevvâbîn,بوابين
bey',بيع
beyâbân,بيابان
beyân,بيان
beyânât,بيانات
beyânnâme,بيان نامه
beyâz,بياض
beyhûde,بيهوده
beyn,بين
beynelmilel,بين الملل
beyn-i,بين
beynülmilel,بين الملل
beyt,بيت
beytâr,بيطار
beytullah,بيت اﷲ
beytûtet,بيتوتت
beytülmal,بيت المال
beyzâ,بيضا
beyze,بيضه
beyzî,بيضى
beze,بزه
bezekâr,بزه كار
bezir,بذر
bezirgân,بازرگان
bezistân,بزستان
bezle,بذله
bezlegû,بذله گو
bezm,بزم
bezmgâh,بزمگاه
bezzaz,بزبز
bîaman,بى امان
bîâr,بى عار
bîbahâ,بى بها
bîbedel,بى بدل
bîbehre,بى بهره
bîcâ,بيجا
bîcan,بى جان
bîçâre,بيچاره
bîçâregân,بيچارگان
bîçunuçirâ,بى چون و چرا
bîd,بيد
bîdâd,بيداد
bîdâdger,بيدادگر
bîdâr,بيدار
bîdârbaht,بيداربخت
bid'at,بدعت
bidâyet,بدایت
bîd-i mecnûn,بيد مجنون
bîdil,بيدل
bîdin,بى دین
bîedeb,بى ادب
bîeman,بى امان
bîendişe,بى اندیشه
bîgâne,بيگانه
bîgüman,بى گمان
bîgünah,بى گناه
bîh,بيخ
bîhaber,بى خبر
bîhadd,بى حد
bihakkın,بحق
bihamdillah,بحمداﷲ
bihâr,بحار
bîhareket,بى حركت
bîhâsıl,بى حاصل
bîhayâ,بى حيا
bîhayat,بى حيات
bihâzelemr,بهذا الامر
bihbûd,بهبود
bîhemtâ,بى همتا
bîhesâb,بى حساب
bîhiss,بى حس
bihişt,بهشت
bîhod,بيخود
bihter,بهتر
bîhude,بيهده
bîinsâf,بى انصاف
bîkâr,بيكار
bîkarâr,بى قرار
bikr,بكر
bîl,بيل
bilâd,بلاد
bilâfâsıla,بلافاصله
bilâhareket,بلاحركت
bilâhere,بالآخره
bilâinkıtâ,بلاانقطاع
bilâkayt,بلاقيد
bilakis,بالعكس
bilâmâni'a,بلامانعه
bilâmazeret,بلامعذرت
bilâmerhamet,بلامرحمت
bilâmühlet,بلامهلت
bilâpervâ,بلاپروا
bilâşikâyet,بلاشكایت
bilâte'ehhür,بلاتأخر
bilâtefrik,بلاتفریق
bilâtehlike,بلاتهلكه
bilâteminat,بلاتأمينات
bilâücret,بلاأجرت
bilcümle,بالجمله
bilfarz,بالفرض
bilfiil,بالفعل
bilhassa,بالخاصه
biliktizâ,بالاقتضا
bililtizâm,بالالتزام
bilistifade,بالاستفاده
bilistihsâl,بالاستحصال
biliştirâk,بالاشتراک
billûr,بلور
bilmecbûriye,بالمجبئریه
bilmukabele,بالمقابله
bilmünâsebe,بالمناسبه
bilmünâvebe,بالمناوبه
bilmüzakere,بالمذاكره
bilumum,بالعموم
bilvâsıta,بالواسطه
bîm,بيم
bîma'nâ,بى معنى
bîmâr,بيمار
bîmârân,بيماران
bîmecâl,بى مجال
bîmekân,بى مكان
bîmerhamet,بى مرحمت
bîmeze,بى مزه
bîmihr,بى مهر
bîmisâl,بى مثال
bîmuhâbâ,بى محابا
bîmübâlât,بى مبالات
bîmürüvvet,بى مروت
bin,بن
binâ,بناء
bînâ,بينا
binâberin,بنابرین
binâen,بناء
binâenaleyh,بناء عليه
bînâm,بينام
bînamaz,بى نماز
bînasîb,بى نصيب
bînazîr,بى نظير
bînemek,بى نمك
bînevâ,بينوا
bînî,بينى
bînihaye,بى نهایه
binnetice,بالنتيجه
binnisbe,بالنسبه
bint,بنت
bîpâyân,بى پایان
bîpervâ,بى پروا
bi'r,بئر
birâder,برادر
bîrahm,بى رحم
bîrayb,بى ریب
birinc,برنج
birişte,برشته
bîrûn,بيرون
biryân,بریان
bisât,بساط
bîsebat,بى ثبات
bîsebeb,بى سبب
bîser,بى سر
bi'set,بئثت
bîst,بيست
bister,بستر
bîsûd,بى سود
bisyâr,بسيار
bîşe,بيشه
bîşerm,بى شرم
bîşuur,بى شعور
bîşübhe,بى شبهه
bîşümâr,بى شمار
bîtâb,بيتاب
bîtâbane,بيتابانه
bitamâmihâ,بتمامها
bîtaraf,بى طرف
bîtarafâne,بى طرفانه
bittab',بالطبع
bittafsîl,بالتفصيل
bittamâm,بالتمام
bîve,بيوه
bîvefâ,بى وفا
bîvezen,بيوه زن
bîzâr,بيزار
bizâtihi,بذاته
bizzarûre,بالضروره
