Türkçe,Osmanlıca
abonelik,آبونه‌لك
âbrâh,آبراه
âbrâh,آبراه
abraş,ابرش
abraş,ابرش
abraş,آبراش
âbrîz,آبریز
âbrîz,آبریز
âbrû,آبرو
abruy,ابروى
âbşâr,آبشار
âbşâr,آبشار
abu,ابو
abu,آبو
âbühava,آب و هوا
âbühava,آب و هوا
abuk sabuk,آبوق‌صابوق
abur cubur,آبورجبور
abûs,عبوس
abûs,عبوس
âbyârî,آبيارى
âbzih,آبزه
âbzih,آبزه
âc,آج
âc,عاج
âc,عاج
âc,آج
aç,آج
aç,اج
aç,اچ
acâib,عجائب
acâib,عجائب
âcâl,آجال
acâleten,عجالة
acâleten,عجالة
acar,اجار
aceb,عجب
aceb,عجب
acebâ,عجبا
acebâ,عجبا
acele,عجله
acele,عجله
aceleten,عجلة
aceleten,عجلة
acem,عجم
acem,عجم
acemaşîran,عجم عشيران
acemaşîran,عجم عشيران
acemî,عجمی
acemî,عجمی
acemistan,عجمستان
acemistan,عجمستان
acemiyân,عجميان
acemiyân,عجميان
acente,آجنته
aceze,عجزه
aceze,عجزه
açgözlü,اچ‌كوزلو
açgözlü,اج‌كوزلو
aç gözlü," آج‌كوزلى"
aç gözlülük,آج‌كوزليلك
acı,آجى
acîb,عجيب
acîb,عجيب
acîbe,عجيبه
acîbe,عجيبه
acık,آجيق
acıkılmak,آجيقلمق
acıklı,آجيقلى
acıkmak,آجيقمق
acıktırmak,آجيقديرمق
âcil,عاجل
âcil,عاجل
âcil," آجل"
acılanmak,آجيلانمق
âcilen,عاجلا
âcilen,عاجلا
âcilen,آجلا
acılık,آجيلق
açılmak,آچلمق
acımak,آجيمق
acımtırak,آجيمتراق
acîn,عجين
acîn,عجين
acınacak,"آجينه‌جق "
acındırmak,آجينديرمق
acınmak,آجنمق
acınmak,آجينمق
âcir,آجر
acırak," آجيراق"
acırga,آجيرغه
acırganmak,آجيرغنمق
acıtmak,آجيتمق
âciz,عاجز
âciz,عاجز
âcizâne,عاجزانه
âcizâne,عاجزانه
âcizî,عاجزی
âcizî,عاجزی
âciziyyet,عاجزیت
âciziyyet,عاجزیت
aç karnına,اج‌قارننه
aç karnına,اچ‌قارننه
açkı,آچقى
açkıcı,آچقيجى
açlık,آجلق
açtırmak,آچديرمق
acûl,عجول
acûl,عجول
acûlâne,عجولانه
acûlâne,عجولانه
acur,آجور
âcür,آجر
âcür,آجر
acûz,عجوز
acûz,عجوز
acûze,عجوزه
acûze,عجوزه
acyo,آجيو
acz,عجز
acz,عجز
a'dâ,اعدا
a'dâ,اعدا
âdâb,آداب
âdâb,آداب
âdab u erkân,آداب و ارکان
âdab u erkân,آداب و ارکان
a'dâd,اعداد
a'dâd,اعداد
adalât,عضلات
adalât,عضلات
adale,عضله
adale,عضله
adâlet,عدالت
adâlet,عدالت
adaletkâr,عدالتکار
adaletkâr,عدالتکار
âdât,عادات
âdât,عادات
adâvet,عداوت
adâvet,عداوت
add,عد
add,عد
aded,عدد
aded,عدد
adeden,عددا
adeden,عددا
adedî,عددی
adedî,عددی
adem,عدم
adem,عدم
âdem,آدم
âdem,آدم
ademâbâd,عدم آباد
ademâbâd,عدم آباد
âdemhâr,آدم خوار
âdemhâr,آدم خوار
âdemî,آدمی
âdemî,آدمی
âdemiyân,آدميان
âdemiyân,آدميان
âdemiyyet,آدميت
âdemiyyet,آدميت
ades,عدس
ades,عدس
adese,عدسه
adese,عدسه
âdet,عادت
âdet,عادت
âdeta,عادتا
âdeta,عادتا
âdeten,عدتا
âdeten,عدتا
adhâ,اضحی
adhâ,اضحی
âdi,عادی
âdi,عادی
adîd,عدید
adîd,عدید
adîde,عدیده
adîde,عدیده
âdil,عادل
âdil,عادل
adîl,عدیل
adîl,عدیل
âdilâne,عدلانه
âdilâne,عدلانه
âdilik,عادیلك
âdilik,عادیلك
adîm,عدیم
adîm,عدیم
adîmülimkân,عدیم الامکان
adîmülimkân,عدیم الامکان
âdiye,عادیه
âdiye,عادیه
adl,عدل
adl,عدل
adlâ',اضلاع
adlâ',اضلاع
adlî,عدلی
adlî,عدلی
adliyye,عدليه
adliyye,عدليه
adn,عدن
adn,عدن
adû,عدو
adû,عدو
âfâk,آفاق
âfâk,آفاق
âfâkî,آفاقی
âfâkî,آفاقی
âfât,آفات
âfât,آفات
âferîde,آفریده
âferîde,آفریده
âferîdgâr,آفریدگار
âferîdgâr,آفریدگار
âferîn,آفرین
âferîn,آفرین
âferîn,آفرین
âferîn,آفرین
âferînende,آفریننده
âferînende,آفریننده
âferîniş,آفرینش
âferîniş,آفرینش
âfet,آفت
âfet,آفت
âfetengîz,آفت انگيز
âfetengîz,آفت انگيز
âfetresân,آفت رسان
âfetresân,آفت رسان
âfetzede,آفت زده
âfetzede,آفت زده
afîf,عفيف
afîf,عفيف
âfil,آفل
âfil,آفل
âfitâb,آفتاب
âfitâb,آفتاب
âfitâbcemâl,آفتاب جمال
âfitâbcemâl,آفتاب جمال
âfiyet,عافيت
âfiyet,عافيت
afrika,افریقا
afrika,افریقا
afsun,افسون
afsun,افسون
âftâb,آفتاب
âftâb,آفتاب
âftâbe,آفتابه
âftâbe,آفتابه
âftâbgîr,آفتابگير
âftâbgîr,آفتابگير
âftâbî,آفتابی
âftâbî,آفتابی
âftâbrû,آفتاب رو
âftâbrû,آفتاب رو
afv,عفو
afv,عفو
âgâh,آگاه
âgâh,آگاه
âgâhî,آگاهی
âgâhî,آگاهی
âğâliş,آغالش
âğâliş,آغالش
âğâz,آغاز
âğâz,آغاز
ağbiyâ,اغبيا
ağbiyâ,اغبيا
âgeh,آگه
âgeh,آگه
âgehî,آگهی
âgehî,آگهی
âgîn,آگين
âgîn,آگين
âğişte,آغشته
âğişte,آغشته
ağlâl,اغلال
ağlâl,اغلال
ağlât,اغلاط
ağlât,اغلاط
ağleb,اغلب احتمال
ağleb,اغلب احتمال
ağnâ,اغنی
ağnâ,اغنی
ağnâm,اغنام
ağnâm,اغنام
ağniyâ,اغنيا
ağniyâ,اغنيا
ağniye,اغنيه
ağniye,اغنيه
ağrâs,اغراس
ağrâs,اغراس
ağrâz,اغراض
ağrâz,اغراض
ağsân,اغصان
ağsân,اغصان
ağşiye,اغشيه
ağşiye,اغشيه
âgûş,آغوش
âgûş,آغوش
ağyâr,اغيار
ağyâr,اغيار
ah,اخ
ah,اخ
âh,آه
âh,آه
ahad,احد
ahad,احد
âhâd,آحاد
âhâd,آحاد
ahali,اهالی
ahali,اهالی
ahavât,اخوات
ahavât,اخوات
ahbâb,احباب
ahbâb,احباب
ahbap,احباب
ahbap,احباب
ahbâr,اخبار
ahbâr,اخبار
ahcâr,احجار
ahcâr,احجار
ahd,عهد
ahd,عهد
ahdar,احضر
ahdar,احضر
ahdâs,احداث
ahdâs,احداث
ahdeb,احدب
ahdeb,احدب
ahdnâme,عهدنامه
ahdnâme,عهدنامه
ahdüpeymân,عهد و پيمان
ahdüpeymân,عهد و پيمان
âhek,آهک
âhek,آهک
âhen,آهن
âhen,آهن
âhendil,آهن دل
âhendil,آهن دل
âheng,آهنگ
âheng,آهنگ
âhengdâr,آهنگدار
âhengdâr,آهنگدار
âhenger,آهنگر
âhenger,آهنگر
âhenggüzâr,آهنگ گذار
âhenggüzâr,آهنگ گذار
âhenîn,آهنين
âhenîn,آهنين
âhenîndil,آهنين دل
âhenîndil,آهنين دل
âhenk,آهنك
âhenk,آهنك
âhenkdâr,آهنگ دار
âhenkdâr,آهنگ دار
âhenkeş,آهنکش
âhenkeş,آهنکش
âhenrüba,آهن ربا
âhenrüba,آهن ربا
âhensâ(y),آهن سای
âhensâ(y),آهن سای
âher,آخر
âher,آخر
âheste,آهسته
âheste,آهسته
âhestegî,آهستگی
âhestegî,آهستگی
ahfâ,اخفا
ahfâ,اخفا
ahfâd,احفاد
ahfâd,احفاد
ahger,اخگر
ahger,اخگر
ahibbâ,احبا
ahibbâ,احبا
ahid,عهد
ahid,عهد
ahidşiken,عهدشکن
ahidşiken,عهدشکن
âhîhte,آهيخته
âhîhte,آهيخته
ahîr,آخر
ahîr,آخر
âhirbîn,آخربين
âhirbîn,آخربين
âhire,آخره
âhire,آخره
ahîren,اخيرا
ahîren,اخيرا
âhiret,آخرت
âhiret,آخرت
âhirin,آخرین
âhirin,آخرین
âhirkâr,آخرکار
âhirkâr,آخرکار
âhirülemr,آخرالامر
âhirülemr,آخرالامر
âhiz,آخذ
âhiz,آخذ
ahize,آخذه
ahize,آخذه
ahkâm,احكام
ahkâm,احکام
ahkâm,احکام
ahkâm,احكام
ahlâf,اخلاف
ahlâf,اخلاف
ahlâk,اخلاق
ahlâk,اخلاق
ahlâken,اخلاقا
ahlâken,اخلاقا
ahlâkiyat,اخلاقيات
ahlâkiyat,اخلاقيات
ahlâkiyûn,اخلاقيون
ahlâkiyûn,اخلاقيون
ahlâm,احلام
ahlâm,احلام
ahlât,اخلاط
ahlât,اخلاط
ahmak,احمق
ahmak,احمق
ahmakâne,احمقانه
ahmakâne,احمقانه
ahmakî,احمقی
ahmakî,احمقی
ahmer,احمر
ahmer,احمر
ahrâm,احرام
ahrâm,احرام
ahrâr,احرار
ahrâr,احرار
ahrârâne,احرارانه
ahrârâne,احرارانه
ahrâs,احراس
ahrâs,احراس
ahret,آخرت
ahret,آخرت
ahşâ',احشاء
ahşâ',احشاء
ahşâb,اخشاب
ahşâb,اخشاب
ahşâm,احشام
ahşâm,احشام
ahsâs,احساس
ahsâs,احساس
ahsen,احسن
ahsen,احسن
ahtâb,احطاب
ahtâb,احطاب
ahtâr,اخطار
ahtâr,اخطار
âhte,آخته
âhte,آخته
ahter,اختر
ahter,اختر
ahterbîn,اختربين
ahterbîn,اختربين
ahterşinâs,اخترشناس
ahterşinâs,اخترشناس
ahterşümâr,اخترشمار
ahterşümâr,اخترشمار
ahu,اخو
ahu,اخو
âhû,آهو
âhû,آهو
âhûbere,آهوبره
âhûbere,آهوبره
âhûdil,آهودل
âhûdil,آهودل
âhund,آخوند
âhund,آخوند
âhûnigah,آهونگاه
âhûnigah,آهونگاه
âhur,آخر
âhur,آخر
âhüvâh,آه و واه
âhüvâh,آه و واه
âhuvân,آهوان
âhuvân,آهوان
âhûvâne,آهوانه
âhûvâne,آهوانه
âhüvâveylâ,آه و واویلا
âhüvâveylâ,آه و واویلا
âhüzâr,آه و زار
âhüzâr,آه و زار
ahvâl,احوال
ahvâl,احوال
ahvef,اخوف
ahvef,اخوف
ahvel,احول
ahvel,احول
ahyâ,احيا
ahyâ,احيا
ahyâl,اخيال
ahyâl,اخيال
ahyânen,احيانا
ahyânen,احيانا
ahyâr,اخيار
ahyâr,اخيار
ahyât,اخياط
ahyât,اخياط
ahz,اخذ
ahz,اخذ
ahzâb,احزاب
ahzâb,احزاب
ahzân,احزان
ahzân,احزان
ahzar,اخضر
ahzar,اخضر
ahzen,احزن
ahzen,احزن
ahzüi'tâ,اخذ و عطا
ahzüi'tâ,اخذ و عطا
ahzükabz,اخذ و قبض
ahzükabz,اخذ و قبض
aid,عداي
aid,عداي
âid,عائد
âid,عائد
âidât,عائدات
âidât,عائدات
âide,عائده
âide,عائده
â'ik,عائق
â'ik,عائق
âika,عائقه
âika,عائقه
âile,عائله
âile,عائله
ailevî,عائلوی
ailevî,عائلوی
âjeng,آژنگ
âjeng,آژنگ
âk,عاق
âk,عاق
akab,عقب
akab,عقب
akabât,عقبات
akabât,عقبات
akabe,عقبه
akabe,عقبه
akâid,عقائد
akâid,عقائد
akâmet,عقامت
akâmet,عقامت
akar,عقار
akar,عقار
akarât,عقرات
akarât,عقرات
akbeh,اقبح
akbeh,اقبح
akd,عقد
akd,عقد
akdâh,اقداح
akdâh,اقداح
akdâm,اقدام
akdâm,اقدام
akdem,اقدم
akdem,اقدم
akdes,اقدس
akdes,اقدس
akıbet,عاقبت
akıbet,عاقبت
âkıbetbîn,عاقبت بين
âkıbetbîn,عاقبت بين
âkıbetendîş,عاقبت اندیش
âkıbetendîş,عاقبت اندیش
âkıbetülemr,عاقبت الامر
âkıbetülemr,عاقبت الامر
âkid,عاقد
âkid,عاقد
akîde,عقيده
akîde,عقيده
akîdefurûş,عقيده فروش
akîdefurûş,عقيده فروش
akîk,عقيق
akîk,عقيق
âkil,آکل
âkil,آکل
akıl,عقل
akıl,عقل
âkıl,عاقل
âkıl,عاقل
âkılâne,عاقل
âkılâne,عاقل
âkıle,عاقله
âkıle,عاقله
akîm,عقيم
akîm,عقيم
âkır,عاقر
âkır,عاقر
akis,عکس
akis,عکس
akl,عقل
akl,عقل
aklâm,اقلام
aklâm,اقلام
aklen,اقلا
aklen,اقلا
aklî,عقلی
aklî,عقلی
aklıselim,عقل سليم
aklıselim,عقل سليم
akliyye,عقليه
akliyye,عقليه
akliyyûn,عقليون
akliyyûn,عقليون
akm,عقم
akm,عقم
akmâr,اقمار
akmâr,اقمار
akmişe,اقمشه
akmişe,اقمشه
akrabâ,اقرباء
akrabâ,اقرباء
akran,اقران
akran,اقران
akreb,اقرب
akreb,عقرب
akreb,اقرب
akreb,عقرب
akrebek,عقربک
akrebek,عقربک
aks,عکس
aks,عکس
aksâ,اقصی
aksâ,اقصی
aksâm,اقسام
aksâm,اقسام
akser,اقصر
akser,اقصر
aksî,عکسی
aksî,عکسی
aksülamel,عکس العمل
aksülamel,عکس العمل
aktâb,اقطاب
aktâb,اقطاب
aktâr,اقطار
aktâr,اقطار
akûr,عقور
akûr,عقور
akûrâne,عقورانه
akûrâne,عقورانه
akvâl,اقوال
akvâl,اقوال
akvâm,اقوام
akvâm,اقوام
akviyâ,اقویا
akviyâ,اقویا
âl,آل
âl,عال
âl,آل
âl,عال
alâ,علاء
alâ,علی
alâ,علاء
alâ,علی
a'lâ,اعلی
a'lâ,اعلی
alâeyyihâl,علی ای حال
alâeyyihâl,علی ای حال
a'lâf,آلاف
a'lâf,آلاف
âlâf,آلاف
âlâf,آلاف
alâhide,عليحده
alâhide,عليحده
alâik,علائق
alâik,علائق
alâimisema,علائم سما
alâimisema,علائم سما
alak,علق
alak,علق
alâka,علاقه
alâka,علاقه
alâkabahş,علاقه بخش
alâkabahş,علاقه بخش
alâkadar,علاقه دار
alâkadar,علاقه دار
alakadârân,علاقه داران
alakadârân,علاقه داران
alâkadrilimkân,علاقدرالامکان
alâkadrilimkân,علاقدرالامکان
a'lâl,اعلال
a'lâl,اعلال
a'lâm,اعلام
a'lâm,اعلام
âlâm,آلام
âlâm,آلام
alâmât,علامات
alâmât,علامات
alâmet,علامت
alâmet,علامت
âlât,آلات
âlât,آلات
alâvechi,علِی وجه
alâvechi,علِی وجه
alâvefk,علی وفق
alâvefk,علی وفق
âlâyiş,آلایش
âlâyiş,آلایش
aleddevam,علی الدوام
aleddevam,علی الدوام
alef,علف
alef,علف
aleka,علقه
aleka,علقه
alelacele,علی العجله
alelacele,علی العجله
alelâde,علی العاده
alelâde,علی العاده
alelamyâ,علی العميا
alelamyâ,علی العميا
alelekser,علی الاکثر
alelekser,علی الاکثر
alelhusûs,علی الخصوص
alelhusûs,علی الخصوص
alelicmâl,علی الاجمال
alelicmâl,علی الاجمال
alelinfirâd,علی الانفراد
alelinfirâd,علی الانفراد
alelistimrâr,علی الاستمرار
alelistimrâr,علی الاستمرار
aleliştirâk,علی الاشتراک
aleliştirâk,علی الاشتراک
alelıtlâk,علی الاطلاق
alelıtlâk,علی الاطلاق
alelittifak,على الاتفاق
alelkifâye,علی الکفایه
alelkifâye,علی الکفایه
alelumûm,علی العموم
alelumûm,علی العموم
alem,علم
alem,علم
a'lem,اعلم
a'lem,اعلم
âlem,عالم
âlem,عالم
âlemârâ,عالم آرا
âlemârâ,عالم آرا
alemdâr,علمدار
alemdâr,علمدار
âlemefrûz,عالم افروز
âlemefrûz,عالم افروز
âlemgîr,عالمگير
âlemgîr,عالمگير
âlemiyân,عالميان
âlemiyân,عالميان
âlemşümûl,علم شمول
âlemşümûl,علم شمول
âlemtâb,عالمتاب
âlemtâb,عالمتاب
alenen,علنا
alenen,علنا
alenî,علنی
alenî,علنی
âlet,آلت
âlet,آلت
alettafsîl,علی التفصيل
alettafsîl,علی التفصيل
alettevâlî,علی التوالی
alettevâlî,علی التوالی
aleyh,عليه
aleyh,عليه
aleyhdar,عليه دار
aleyhdar,عليه دار
aleyhisselâm,عليه السلام
aleyhisselâm,عليه السلام
ali,على
ali,على
âlî,عالی
âlî,عالی
âlîcâh,عالی جاه
âlîcâh,عالی جاه
âlîcenâb,عالی جناب
âlîcenâb,عالی جناب
âlihe,آلهه
âlihe,آلهه
âlîhimmet,عالی همت
âlîhimmet,عالی همت
âlîkadr,عالی قدر
âlîkadr,عالی قدر
alîl,عليل
alîl,عليل
âlim,عالم
âlim,عالم
alîm,عليم
alîm,عليم
âlîmakâm,عالی مقام
âlîmakâm,عالی مقام
âlînazar,عالی نظر
âlînazar,عالی نظر
âlîşan,عالی شان
âlîşan,عالی شان
âliye,عاليه
âliye,عاليه
aliyyülâlâ,علی الاعلا
aliyyülâlâ,علی الاعلا
Allâh,الله
Allâh,الله
allâme,علامه
allâme,علامه
âlû,آلو
âlû,آلو
âlûbâlu,آلوبالو
âlûbâlu,آلوبالو
âlûd,آلود
âlûd,آلود
âlûde,آلوده
âlûde,آلوده
âlûdedâmen,آلوده دامن
âlûdedâmen,آلوده دامن
âlûdegî,آلودگی
âlûdegî,آلودگی
âlüfte,آلفته
âlüfte,آلفته
a'mâ,اعمی
a'mâ,اعمی
âmâc,آماج
âmâc,آماج
âmâcgâh,آماجگاه
âmâcgâh,آماجگاه
âmâde,آماده
âmâde,آماده
âmâdegî,آمادگی
âmâdegî,آمادگی
a'mâk,اعماق
a'mâk,اعماق
a'mâl,اعمال
a'mâl,اعمال
a'mâl,اعمال
a'mâl,اعمال
âmâl,آمال
âmâl,آمال
âmâl,آمال
âmâl,آمال
a'mâr,اعمار
a'mâr,اعمار
âmâr,آمار
âmâr,آمار
amca,عموجه
amd,عمد
amd,عمد
amden,عمدا
amden,عمدا
âmed,آمد
âmed,آمد
âmedşüd,آمدشد
âmedşüd,آمدشد
âmedüreft,آمدورفت
âmedüreft,آمدورفت
âmedüşüd,آمدوشد
âmedüşüd,آمدوشد
amel,عمل
amel,عمل
amele,عمله
amele,عمله
amelen,عملا
amelen,عملا
amelî,عملی
amelî,عملی
ameliyât,عمليات
ameliyât,عمليات
ameliye,عمليه
ameliye,عمليه
âmennâ,آمنا
âmennâ,آمنا
âmîhte,آميخته
âmîhte,آميخته
amîk,عميق
amîk,عميق
âmil,عامل
âmil,عامل
amîm,عميم
amîm,عميم
âmîn,آمن
âmîn,آمن
âminen,آمنا
âminen,آمنا
âmir,آمر
âmir,آمر
âmirâne,آمرانه
âmirâne,آمرانه
âmiyâne,عاميانه
âmiyâne,عاميانه
amm,عم
amm,عم
âmm,عام
âmm,عام
âmm,عام
âmm,عام
ammâ,اما
ammâ,اما
amme,عمه
amme,عمه
amûd,عمود
amûd,عمود
amûden,عمودا
amûden,عمودا
amûdî,عمودی
amûdî,عمودی
âmürzgâr,آمرزگار
âmürzgâr,آمرزگار
âmurziş,آمرزش
âmurziş,آمرزش
âmürziş,آمرزش
âmürziş,آمرزش
âmûz,آموز
âmûz,آموز
âmûzgâr,آموزگار
âmûzgâr,آموزگار
an,عن
an,عن
ân,آن
ân,آن
ân,ان
ân,آن
ân,ان
ân,آن
ânân,آنان
ânân,آنان
an'anât,عنعنات
an'anât,عنعنات
an'ane,عنعنه
an'ane,عنعنه
an'anevî,عنعنوی
an'anevî,عنعنوی
anâsır,عناصر
anâsır,عناصر
ânât,آنات
ânât,آنات
anbean,آن به آن
anbean,آن به آن
anber,عنبر
anber,عنبر
anberbû,عنبربو
anberbû,عنبربو
andelîb,عندليب
andelîb,عندليب
âne,انه
âne,انه
anh,عنه
anh,عنه
anhâ,آنها
anhâ,عنها
anhâ,عنها
anhâ,آنها
a'nî,اعنی
a'nî,اعنی
ânî,آنی
ânî,آنی
ânifen,آنفا
ânifen,آنفا
anınçün,آنڭچون
anınçün,آنڭچون
âniyen,آنيا
âniyen,آنيا
ankâ,عنقا
ankâ,عنقا
ankarîb,عن قریب
ankarîb,عن قریب
ankasdin,عن قصد
ankasdin,عن قصد
ankebût,عنکبوت
ankebût,عنکبوت
ansamîmilkalb,عن صميم القلب
ansamîmilkalb,عن صميم القلب
anûd,عنود
anûd,عنود
ap,آپ
ap,اپ
apaçık,اپ‌اچق
apalak,آپالاق
apansız,آپاكسز
apansız,اپ‌انسز
aparmak,آپارمق
aparmak,آپارمق
aparmak,آپارمق
aparmak,اپارمق
apartman,آپارتمان
apaz,آپاز
apazlama,آپازلامه
apazlamak,آپازلامق
apiko,آپيوقو
apiş,اپش
apış,آپش
apış,آپيش
apışık,آپشيق
apışmak,آپشمق
apışmak,اپشمق
apıştırmak,آپشديرمق
apşak,آپشاق
apul,آپول
apuş,آپوش
âr,عار
âr,عار
ârâ,آرا
ârâ,آرا
ârâ',آراء
ârâ',آراء
arab,عرب
arab,عرب
a'râb,اعراب
a'râb,اعراب
arabî,عربی
arabî,عربی
a'râbî,اعرابی
a'râbî,اعرابی
arâ'is,عرائس
arâ'is,عرائس
arak,عرق
arak,عرق
arakçîn,عرقچين
arakçîn,عرقچين
arakdâr,عرقدار
arakdâr,عرقدار
arakıyye,عرقيه
arakıyye,عرقيه
ârâm,آرام
ârâm,آرام
ârâmbahş,آرام بخش
ârâmbahş,آرام بخش
ârâmgâh,آرامگاه
ârâmgâh,آرامگاه
ârâmiş,آرامش
ârâmiş,آرامش
ar'ar,عرعر
ar'ar,عرعر
ârâste,آراسته
ârâste,آراسته
ârâyiş,آرایش
ârâyiş,آرایش
araz,عرض
araz,عرض
a'râz,اعراض
a'râz,اعراض
arâzî,اراضی
arâzî,اراضی
arbede,عربده
arbede,عربده
arbedecû,عربده جو
arbedecû,عربده جو
ard,آرد
ard,آرد
ardbîz,آردبيز
ardbîz,آردبيز
arefe,عرفه
arefe,عرفه
ârî,آری
ârî,عاری
ârî,عاری
ârî,آری
ârif,عارف
ârif,عارف
âriyyet,عاریت
âriyyet,عاریت
arîz,عریض
arîz,عریض
ârız,عارض
ârız,عارض
ârızî,عارضی
ârızî,عارضی
arman,آرمان
arman,آرمان
arş,عرش
arş,عرش
arsa,عرصه
arsa,عرصه
arşa,عرشه
arşa,عرشه
arûs,عروس
arûs,عروس
arz,ارض
arz,عرض
arz,عرض
arz,ارض
arz,عرض
arz,عرض
arzan,ارضا
arzan,ارضا
arzıhâl,ارض حال
arzıhâl,ارض حال
ârzû,آرزو
ârzû,آرزو
âş,آش
âş,آش
asâ,عصا
asâ,عصا
âsâ,آسا
âsâ,آسا
asab,عصب
asab,عصب
a'sâb,اعصاب
a'sâb,اعصاب
asabî,عصبی
asabî,عصبی
asabiyülmizac,عصبی المزاج
asabiyülmizac,عصبی المزاج
asabiyyet,عصبيت
asabiyyet,عصبيت
âsaf,آصف
âsaf,آصف
asâkir,عساکر
asâkir,عساکر
asalet,اصالت
asalet,اصالت
asalet,اثالت
âsâm,آثام
âşâm,آشام
âşâm,آشام
asamm,اصم
asamm,اصم
âsân,آسان
âsân,آسان
a'sâr,اعصار
a'sâr,اعصار
âsâr,آثار
âsâr,آثار
a'şâr,اعشار
a'şâr,اعشار
a'şârî,اعشاری
a'şârî,اعشاری
âsâyiş,آسایش
âsâyiş,آسایش
asdika,اصدقا
asdika,اصدقا
asel,عسل
asel,عسل
aşer,عشر
aşer,عشر
aşere,عشره
aşere,عشره
ases,عسس
ases,عسس
asfer,اصفر
asfer,اصفر
asgar,اصغر
asgar,اصغر
asgarî,اصغری
asgarî,اصغری
ashâb,اصحاب
ashâb,اصحاب
aşhâne,آشخانه
aşhâne,آشخانه
âsî,عاصی
âsî,عاصی
âsîb,آسيب
âsîb,آسيب
âşifte,آشفته
âşifte,آشفته
âşık,عاشق
âşık,عاشق
âşıkân,عاشقان
âşıkân,عاشقان
âşikâr,آشکار
âşikâr,آشکار
âşikâre,آشکاره
âşikâre,آشکاره
asîl,اصيل
asîl,اصيل
asîlzâde,اصيل زاده
asîlzâde,اصيل زاده
âsim,آثم
âsım,عاصم
âsım,عاصم
âşina,آشنا
âşina,آشنا
âşir,عاشر
âşir,عاشر
asîr,عصير
asîr,عصير
aşîr,عشير
aşîr,عشير
asır ba'de asır,عصر بعد عصر
asır ba'de asır,عصر بعد عصر
âşiren,عاشرا
âşiren,عاشرا
âsitan,آستان
âsitan,آستان
âsiyâ,آسيا
âsiyâ,آسيا
âsiyâb,آسياب
âsiyâb,آسياب
âşiyân,آشيان
âşiyân,آشيان
aşk,عشق
aşk,عشق
âşkâr,آشکار
âşkâr,آشکار
âşkârâ,آشکارا
âşkârâ,آشکارا
asker,عسکر
asker,عسکر
asl,اصل
asl,اصل
asla,اصلا
asla,اصلا
aslî,اصلی
aslî,اصلی
aslünesl,اصل و نسل
aslünesl,اصل و نسل
âsmân,آسمان
âsmân,آسمان
âsmânî,آسمانی
âsmânî,آسمانی
âşnâ,آشنا
âşnâ,آشنا
asnâm,اصنام
asnâm,اصنام
âşnâyân,آشنایان
âşnâyân,آشنایان
âşnâyî,آشنایی
âşnâyî,آشنایی
