a,آ
âilevî,عائلوى
ajan,آژان
ajans,آژنس
ak,آق
aka,آقا
akâmet,عقامت
akabe,عقبه
akademi,آقاده‌می
akağaç,آق‌آغاج
akâid,عقائد
akamber,آق عنبر
akar,آقار
akar,عقار
akaarat,عقارات
akarat,عقارات
akasya,آقاسيا
akbaba,آق‌بابا
akbalık,آق بالیق
akbenek,آق‌بنك
akciğer,آق‌چگر
akça,آقچه
Akçaabat,آقچه‌آباد
akçaağaç,آقچه‌آغاج
akçaarmudu,آقچه‌آرمودی
Akçadağ,آقچه‌داغ
akçakavak,آقچه‌قاواق
akçe,آقچه
Akdağ Mâden,آقداغ‌معدن
akdem,اقدم
akdes,اقدس
akdetmek,عقدايتمك
akdiken,آق‌ديکن
akgünlük,آق‌کونلك
akhardal,آق‌حردال
akhaşhaş,آق‌خشخاش
Akhisar,آقحسار
akıcı,آقيجی
âkıl,عاقل
âkılâne,عاقلانه
âkıbet,عاقبت
akıldişi,عقل ديشی
akıllı,عقللی
akıllılık,عقلليلق
akılsız,عقلسز
akılsızlık,عقلسزلق
akın,آقين
akıncı,آقينجی
akıntı,آقينتی
akıtma,آقيتمه
akıtmak,آقيتمق
akıtmalı,آقيتمه‌لی
akid,عقد
akîde,عقیده
akik,عقيق
âkıl,عاقل
âkil,آکل
âkile,آکله
akîm,عقيم
akis,عکس
akkefal,آق کفال
Akkuyruk,آق‌قويروق
aklen,عقلاَ
aklık,آقلق
aklî,عقلی
akma,آقمه
akmak,آقمق
akord,آقورد
akordcu,آقوردجی
akraba,اقربا
akran,اقران
akreb,عقرب
aksâ,آقسا
aksak,آقساق
aksakal,آق سقال
aksamak,آقسامق
Aksaray,آقسرای
aksatmak,آقساتمق
Akseki,آقسکی
aksırık,آقسيريق
aksırmak,آقسيرمق
aksırtıcı,آقسيرتجی
aksırtmak,آقسيرتمق
aksi,عکسی
aksilik,عکسيلك
aksine,عکسنه
aksiyon,آقسيون
aksöğüt,آق‌سکود
aksu,آق‌سو
aksülümen,آق‌سلمن
akşam,آقشام
akşamcı,آقشامجی
akşamlamak,آقشاملامق
akşamlatmak,آقشاملاتمق
akşamleyin,آقشاملين
akşamlı,آقشاملی
akşamlık,آقشاملق
Akşehir,آقشهر
aktar,عطار
attar,عطار
aktar,آقطار
aktarlık,عطارلق
aktarma,آقتارمه
aktarmak,آقتارمق
aktavşan,آق‌طاوشان
aktris,آقتريس
aktör,آقتور
akustik,آقوستيك
akümülatör,آکومولاتور
akvam,اقوام
al,آل
âl,آل
albüm,آلبوم
albümin,آلبومين
alca,آلجه
alçak,آلچاق
alçalmak,آلچالمق
alcı,آلچی
alçılamak,آلچيلامق
aldanış,آلدانیش
aldanma,آلدانمه
aldanmak,آلدانمق
aldatıcı,آلداتجی
aldatmak,آلداتمق
aldırmak,آلديرمق
alelacele,علی‌العجله
alelâde,علی‌العاده
alelhusûs,علی‌الخصوص
alelûmûm,علی‌العموم
alelüsûl,علی‌الاصول
âlem,عالم
alemdâr,علمدار
alemdarlık,علمدارلق
âlemşümul,عالمشمول
alenen,علناً
alenî,علنی
âlet,آلت
aleykümselam,عليکم سلام
alev,آلو
alev,علو
alev,آله‌و
alevî,علوی
alevîlik,علويلك
alevlendirmek,آلولنديرمك
alevlendirmek,علولنديرمك
alevlenmek,آلو‌لنمك
alevlenmek,علو‌لنمك
alevli,علولی
alfabe,آلفابه
alıcı,آليجی
alıç,آليج
alık,آليق
alıkomak,آليقومق
alım,آليم
alın,آلن
alın,آلين
alıngan,آلينغان
alınlı,آلنلی
alınlık,آلنلق
alınmak,آلنمق
alış,آليش
alışık,آليشيق
alışılmak,آليشلمق
alışkan,آليشقان
alışmak,آليشمق
alıştırmak,آليشترمق
alıvermek,آليويرمك
âlî,عالی
âlicenâb,عاليجناب
âlicenablık,عاليجنابلق
âlihe,آلهه
âlîkadir,عاليقدر
alîl,عليل
âlim,عالم
alkış,آلقيش
alkışlama,آلقيشلامه
alkışlamak,آلقيشلامق
alkışlanmak,آلقيشلانمق
alkol,آلقول
alkolik,آلقوليك
Allah,الله
allak,آللاق
allâme,علامه
allık,آللق
almak,آلمق
alman,آلمان
Almanya,آلمانيا
alo,آلو
alp,آلپ
alpak,آلپاق
alt,آلت
altı,آلتی
altıköşe,آلتی‌کوشه
altılık,آلتيلق
altın,آلتون
altıncı,آلتنجی
altıncı,آلتونجی
altınkökü,آلتون‌کوکی
altınkuyruk,آلتون قويروق
altınlamak,آلتونلامق
altınotu,آلتون اوتی
altıntop,آلتون طوپ
altıntopu,آلتون طوپی
altıparmak,آلتی پارماق
altıpatlar,آلتی‌پاتلار
altışar,آلتيشر
altlık,آلتلق
altmış,آلتمش
altmışaltı,آلتمش‌آلتی
altmışar,آلتمشر
altmışıncı,آلتمشنجی
altmışlamak,آلتمشلامق
altmışlık,آلتمشلق
Alucra,آلوجره
âlûde,آلوده
âlüfte,آلفته
aluminyum,آلومينيوم
ama,آما
amma,آما
â'mâ,اعما
amaç,آماج
âmâde,آماده
aman,آمان
Amasya,آماسيه
ambar,آنبار
ambarcı,آنبارجی
ambargo,آمبارغو
ambalaj,آمبالاژ
amber,عنبر
amber balığı,عنبر باليغي
amber çiçeği,عنبر چيچگی
amberiye,عنبريه
amberli,عنبرلی
ambriyon,آمبرييون
amca,عمجه
amcalık,عمجه‌لق
amcaoğlu,عمجه‌اوغلی
amcazâde,عمجه‌زاده
amden,عمداً
âmedî,آمدی
amel,عمل
amele,عمله
amelî,عملی
ameliyat,عمليات
ameliye,عملیه
âmenna,آمنا
Amerika,آمریقا
Amerikan,آمریقان
amîk,عمیق
âmil,عامل
âmin,آمین
âmir,آمر
amiral,امیرال
âmiyâne,عامیانه
âmme,عامه
amonyak,آمونیاق
amortisman,آمورتیسمان
amper,آمپر
ampirik,آنپیریك
ampirism,آمپیریزم
ampul,آمپول
an,آن
an,آك
ana,آنا
ana,آنه
anaç,آناج
anaçlamak,آناجلامق
ana defter,آنا دفتر
Anadolu,آناطولی
anadolulu,آناطولیلی
anafor,آنافور
anahtar,آناحتار
analık,آنالق
analiz,آنالیز
ananas,آناناس
an'ane,عنعنه
Anamur,آنامور
anâsır,عناصر
anason,آناصون
anarşi,آنارشی
anarşist,آنارشیست
ancak,آنجق
and,آند
Andırın,آندیرین
andırmak,آندیرمق
andızotu,آندیزاونی
andlaşmak,آندلاشمق
âne,آنه‌
anestezi,آنه‌سته‌زی
anfiteatr,آنفی‌ته‌آتر
angajman,آنغاژمان
angarya,آنغاریه
anılmak,آڭلمق
anırmak,آڭیرمق
anırtmak,آڭیرتمق
anız,آڭیز
ânîde,آنیده
anilin,آنیلین
anjin,آنژین
anket,آنکت
ankaa,عنقا
anka,عنقا
Ankara,آنقره
ankarib,عن قریب
ankasdin,عنقصدِ
anlamak,آڭلامق
anlanmak,آڭلانمق
anlaşılmak,آڭلاشلمق
anlaşmak,آڭلاشمق
anlatdırmak,آڭلاتدیرمق
anlatmak,آڭلاتمق
anlatılmak,آڭلادیلمق
anlatış,آڭلادیش
anlayış,آڭلایش
anlayışlı,آڭلایشلی
anmak,آڭمق
anne,آننه
anonim,آنونیم
ansız,آڭسز
ansızın,آڭسزین
ansiklopedi,آنسيقلويه‌دى
Antalya,آنطالیه
anten,آنته‌ن
antika,آنتیقه
antimon,آنتیمون
antipirin,آنتیپیرین
antisepsi,آنتی‌سه‌پسی
antiseptik,آنتی‌سه‌پتیك
antre,آنتره
antrenör,آنتره‌نور
antrepo,آنترپو
amûd,عمود
amûden,عموداً
amûdî,عمودی
anûd,عنود
apaçık,آپ‌آچیق
apandisit,آپاندیسیت
apansız,آپاڭسز
apansızın,آپاڭسزین
apartıman,آپارتمان
aparmak,آپارمق
apış,آپش
apolet,آپولت
apse,آپسه
aptal,آپدال
aptalsı,آپدالسی
ar,عار
ara,آرا
ârâ,آراء
Arab,عرب
araba,آرابا
arabacı,آراباجی
arabağı,آراباغی
arabî,عربی
Arabistan,عربستان
arabiyât,عربیات
Araç,آراج
Arafat,عرفات
arakapı,آراقاپی
aral,آرال
aralamak,آرالامق
aralanmak,آرالانمق
aralaşmak,آرالاشمق
aralatmak,آرالاتمق
aralık,آرالق
ârâm,آرام
arama,آرامه
aramak,آرامق
âramgâh,آرامکاه
ârâmsâz,آرامساز
aranılmak,آرانیلمق
aranmak,آرانمق
Arapsun,عرپسون
ararot,آراروت
arasat,عرصات
arasıra,آرا‌سیرا
araştırmak,آراشدیرمق
aratmak,آراتمق
arattırmak,آراتدیرمق
arayıcı,آراييجى
ârâyış,آرایش
ârâz,اعراض
araz,عرض
arazî,عرضی
arâzi,اراضی
arbede,عربده
Ardahan,آرداهال
ardıç,آردیچ
ardıçkatranı,آردیچ قطرانی
ardıçkuşu,آردیچ قوشی
ardıçsuyu,آردیچ صویی
ardısıra,آردی سیرا
ardiye,ارضیه
arefe,عرفه
arı,آری
arıbeği,آری بکی
arıbeyi,آری بکی
arıçiçeği,آری چیچکی
arık,آریق
arık,آریغ
arıklamak,آریقلامق
arıklanmak,آریقلانمق
arıklatmak,آریقلاتمق
arıkmak,آریقمق
arılmak,آریلمق
arımak,آریمق
arınmak,آرینمق
arıkovanı,آری قوغانی
arıkuşu,آری قوشی
arıotu,آری اوتی
arıtmak,آریتمق
ârız,عارض
ârıza,عارضه
ârızalı,عارضه‌لی
ârızasız,عارضه‌سز
arızî,عارضی
ârî,عاری
ârif,عارف
ârifâne,عارفانه
aristokrasi,آریستوقراسی
aristokrat,آریستوقرات
âriyet,عاریت
âriyeten,عاریةً
ariz,عریض
ariza,عریضه
Arjantin,آرژانتین
ark,آرق
arka,آرقا
arkadaş,آرقاداش
arkalı,آرقالی
arkalık,آرقالق
arkasıpek,آرقاسی پك
arlanmak,عارلانمق
arma,آرما
armağan,آرمغان
armatör,آرماتور
armonik,آرمونیك
armud,آرمود
armûdi,آرمودی
arnavut,آرناوود
arnavutça,آرناوودجه
Arnavutluk,آرناوودلق
arpa,آرپا
arpacık,آرپاجق
Arpaçay,آرپاچای
arpalamak,آرپالامق
arpalık,آرپالق
arpasuyu,آرپا سویی
arsa,عرصه
arsenik,آرسه‌نیك
arsız,عارسز
arsızlanmak,عارسزلانمق
arsızlık,عارسزلق
arş,آرش
arş,عرش
arşın,آرشین
arşınlamak,آرشینلامق
arşınlık,آرشینلق
art,آرت
ard,آرد
artdırılmak,آرتدیریلمق
arttırılmak,آرتدیریلمق
artdırmak,آرتدیرمق
arttırmak,آرتدیرمق
artist,آرتیست
artık,آرتیق
artıklık,آرتیقلق
artırmak,آرتیرمق
artma,آرتمه
artmak,آرتمق
Artova,آرتووا
Artvin,آرتوین
aruz,عروض
arya,آریا
arz,ارض
arz,عرض
arzetmek,عرض ایتمك
arzî,ارضی
arzıyât,ارضیات
arzu,آرزو
arzuhâl,عرضحال
arzûkeş,آرزوکش
arzulamak,آرزولامق
arzulu,آرزولی
as,آس
as,اَص
asâ,عصا
âsâ,آسا
asab,اعصاب
asabî,عصبی
asabilik,عصبیلك
asabiyeci,عصبیه‌جی
asabiyet,عصبیت
asâlet,اصالت
âsân,آسان
asansör,آسانسور
âsâr,آثار
âsaar,اعصار
âsar,اعصار
âsâyiş,آسایش
asdırmak,آصدیرمق
asepsi,آسه‌پسی
asetilen,آسه‌تیلن
asfalt,آسفالت
asgar,اصغر
ashâb,اصحاب
asıcı,آسیجی
asıl,اصل
asılacak,آسیله‌جق
asılı,آسیلی
asılış,آسیلیش
asılma,آسیلمه
asılmak,آصیلمق
asıntı,آصینتی
asır,عصر
asr,عصر
âsî,عاصی
asil,اصیل
âsilik,عاصیلك
asilzâde,اصلزِاده
asit,آسید
âsitan,آستان
âsitâne,آستانه
âsiyâb,آسیاب
âsiye,آسیه
asker,عسکر
askerî,عسکری
askeriye,عسکریه
askerlik,عسکرلك
askı,آصقی
aslâ,اصلا
aslan,آرسلان
aslanağzı,آرسلان آغزی
aslancı,آرسلانجی
aslankuyruğu,آرسلان قویروغی
aslanpençesi,ارسلان پنجه‌سی
aslî,اصلی
asma,آسمه
asmak,آصمق
asmakabağı,آصمه‌قباغی
asrî,عصرى
asrîlik,عصريلك
astar,آستار
astarlamak,آستارلامق
astarlık,آستارلق
âsûde,آسوده
âsûdegî,آسودگى
âsumân,آسمان
âsumânî,آسمانى
Asya,آسيا
aş,آش
aşağı,آشاغى
aşağılamak,آشاغيلامق
aşağılı,آشاغيلى
aşağılık,آشاغيلق
âşâr,اعشار
aşevi,آش اوى
aşhâne,آشخانه
aşıboyası,آشى بوياسى
aşı,آشى
aşıcı,آشيجى
âşık,عاشق
aşıkâne,عاشقانه
aşıkkemiği,آشيق كميگى
aşıklık,عاشقلق
aşılama,آشيلامه
aşılamak,آشيلامق
aşılanmak,آشيلانمق
aşılatmak,آشيلاتمق
aşılı,آشیلی
aşındırmak,آشیندیرمق
aşınma,آشینمه
aşınmak,آشینمق
aşırı,آشیری
aşırılmak,آشیرلمق
aşırma,آشیرمه
aşırmak,آشیرمق
aşırtma,آشیرتمه
aşırtmak,آشیرتمق
aşısız,آشیسز
aşıtaşı,آشی طاشی
âşifte,آشفته
âşikâr,آشکار
âşikâre,آشکاره
âşinâ,آشنا
âşinâlık,آشنالق
âşinâyi,آشنایی
aşîret,عشیرت
âşiyân,آشیان
âşiyâne,آشیانه
aşk,عشق
aşkın,آشقین
aşlamak,آشلامق
aşlatmak,آشلاتمق
aşma,آشمه
aşmak,آشمق
aşûre,عشورا
aşûre,عاشورا
ata,آتا
atâ,عطا
atak,آتاق
ataklık,آتاقلق
atâlet,عطالت
ataşe,آتاشه
atbalığı,آت بالیغی
ateh,عته
atelye,آتلیه
ateş,آتش
ateşâne,آتشخانه‌
ateşbalığı,آتش بالیغی
ateşbâz,آتشباز
ateşböceği,آتش بوجکی
ateşçi,آتشجی
âteşgede,آتشکده
âteşî,آتشی
âteşîn,آتشین
ateşkayığı,آتش قاییغی
ateşlemek,آتشلمك
ateşlendirmek,آتشلنديرمك
ateşlenmek,آتشلنمك
ateşli,آتشلی
ateşlik,آتشلك
âteşnâk,آتشناك
ateşpâre,آتشپاره
ateşperest,آتشپرست
atfetmek,عطف ایتمك
atıcı,آتیجی
atıf,عطف
âtıfet,عاطفت
âtıl,عاطل
atılış,آتیلیش
atılma,آتیلمه
atılmak,آتیلمق
atım,آتیم
atış,آتیش
atışmak,آتیشمق
atıştırmak,آتیشدیرمق
atıyye,عطیه
âtî,آتی
atik,آتیك
atîk,عتیق
âtiyen,آتیاً
atkafalı,آت قفالی
atkestanesi,آت کستانه‌سی
atkı,آتقی
atkılamak,آتقیلامق
atkulağı,آت قولاغی
atkuyruğu,آت قویروغی
atlama,آتلا‌مه
atlamak,آتلامق
atlandırmak,آتلا‌ندیرمق
atlas,آطلاس
atlas,اطلس
atlayış,آتلایش
atlı,آتلی
atma,آتمه
atmaca,آتماجه
atmak,آتمق
atom,آتوم
atsineği,آت سینگی
atsülüğü,آت سولوگی
atş,عطش
atşan,عطشان
attırmak,آتدیرمق
at,آت
av,آوا
avadanlık,آوادانلق
avam,عوام
avâmil,عوامل
avanak,آواناق
Avanos,آوانوس
avanta,آوانتا
âvâre,آواره
âvâz,آواز
avcı,آوجی
avcılık,آوجیلق
avdet,عودت
âvize,آویزه
av köpeği,آوکوپکی
avlamak,آولامق
avlanış,آولانیش
avlanmak,آولانمق
avlu,آولی
avrat,عورت
Avrupa,آوروپا
avuç,آووج
avuçlamak,آووجلامق
avukat,آووقات
avunmak,آوونمق
avurt,آوورت
avurtlu,آوورتلی
Avustralya,آوسترالیا
Avusturya,آوستریا
avutdurmak,آووتدرمق
avutmak,آوونمق
avutulmak,آووتلمق
ay,آی
Ay,اَی
aya,آیا
ayağına çabuk,آیا‌غنه‌چابوق
ayak,آیاق
ayakaltı,آیاق آلتی
ayakkabı,آیاق‌قابی
ayakkabıcı,آیاق قابیجی
ayaklamak,آيا‌قلامق
ayaklandırmak,آیا‌قلاندیرمق
ayaklanmak,آیاقلانمق
ayaklanmak,آیاقلانمق
ayaklı,آیاقلی
ayaklık,آیاقلق
ayaküstü,آیاق اوستی
ayâl,عیال
ayan,عیان
âyân,اعیان
ayanbeyan,عیان بیان
Ayancık,عیانجق
ayar,عیار
ayarcı,عیارجی
ayarmak,آیارمق
ayartmak,آیارتمق
ayartılmak,آیارتلمق
Ayaş,آیاش
ayaz,آیاز
ayazlamak,آیازلامق
ayazlanmak,آیازلانمق
ayazlatmak,آیازلاتمق
ayazma,آیازمه
aydın,آیدین
Aydın,آیدین
aydınlamak,آیدینلامق
aydınlanmak,آیدینلانمق
aydınlaşdırmak,آیدینلاشدیرمق
aydınlaşmak,آیدینلاشمق
aydınlatmak,آیدینلاتمق
aydınlık,آیدینلق
âyet,آیت
aygır,آیغیر
ayı,آیی
ayıp,عیب
ayıplamak,عیبلامق
ayıplanmak,عیبلانمق
ayıpsız,عیبسز
ayık,آیق
ayıklamak,آیقلامق
ayıklık,آیقلق
ayılmak,آییلمق
ayıltmak,آییلتمق
ayırmak,آییرمق
ayırt,آییرت
âyîn,آیین
âyine,آیینه
aykırı,آیقیری
aylak,آیلاق
aylakçı,آیلاقجی
aylık,آیلق
aylıkçı,آیلقجی
aylıklı,آیلقلی
aymak,آیمق
ayna,آینه
aynacı,آینه‌جی
aynalı,آینه‌لی
"aynasız ",آینه‌سز
aynen,عیناً
aynî,عینی
ayni,عینی
ayniyet,عینیت
ayran,آیران
ayranlık,آیرانلق
ayrı,آیری
ayrık,آیریق
ayrılanmak,آیریلانمق
ayrılaşmak,آیریلاشمق
ayrılık,آیریلق
ayrılmak,آیریلمق
ayva,آیوا
Ayvacık,آیواجق
ayvalık,آیوالق
Ayvalık,آیوالق
ayvaz,آیواز
ayvaz,عیواض
ayyaş,عیاش
ayyaşlık,عیا‌شلق
ayyûk,عیوق
az,آز
âzâ,اعضا
azâb,عذاب
azab,عزب
âzâd,آزاد
âzâde,آزاده
âzâdegi,آزدکی
âzâdlamak,آزادلامق
âzadlı,آزادلی
âzadlık,آزادلق
azalmak,آزالمق
azaltmak,آزالتمق
a'zam,اعظم
azamet,عظمت
azametli,عظمتلی
âzamî,اعظمی
azar,آزار
azarlamak,آزارلامق
azarlanmak,آزارلانمق
azarlatmak,آزارلاتمق
azarlayış,آزارلایش
azcık,آزجق
azdırılmak,آزدیلمق
azdırmak,آزدیرمق
âzeri,آزری
azgın,آزغین
azı,آزی
azıdişi,آزی دیشی
azık,آزیق
"azıklanmak ",آزیقلانمق
azımsamak,آزمسامق
azırganmak,آزیرغانمق
azıtmak,آزیتمق
azim,عزم
azîm,عظيم
azîmet,عزیمت
aziz,عزیز
Aziziye,عزیزیه
azizlik,عزیزلك
azil,عزل
azletmek,عزل ایتمك
azma,آزمه
azmak,آزمق
azmak,آزماق
azman,آزمان
azot,آزوت
azrâil,عزرائیل
bâb,باب
baba,بابا
Babaeski,بابااسکی
babalı,بابالی
babalık,بابالق
Bâbıali,باب‌عالی
babayâni,بابایانه
babayiğit,بابا‌ییکیت
babayiğitlik,بابا‌ییکیتلك
baca,باجا
bacak,باجاق
bacaklı,باجاقلی
bacaksız,باجاقسز
bacaksızlık,باجاقسزلق
bacanak,باجاناق
bacanak,باجناق
bacanaklık,باجاناقلق
bacı,باجی
badana,بادانا
badanacı,باداناجی
badanacılık,باداناجیلق
badanalamak,بادانالامق
badanalı,بادانالی
bâde,باده
bâdehu,بعده
bâdem,بادم
bâdemâ,بعدما
bâdemcik,بادمجك
bâdemi,بادمی
bâdemiçi,بادم ایچی
bâdemlik,بادملك
bâdemyağı,بادمِ یاغی
bâdisaba,بادصبا
bâdire,بادره
bâdiye,بادیه
bâdnümâ,بادنما
Bafra,بافرا
bağ,باغ
bağa,باغه
bagaj,باغاژ
bağdadî,بغدادی
bağdaş,باغداش
bağdaşmak,باغداشمق
bağı,باغی
bağır,باغر
bağırtlak,باغرتلاق
bağırış,باغريش
bağırma,باغرمه
bağırmak,باغرمق
bağırtan,باغردان
bağışlamak,باغیشلامق
bağlama,باغلامه
bağlama,باغلامق
bağlan,باغلان
bağlanmak,باغلانمق
bağlı,باغلی
bağrış,باغریش
bağteten,بغتةً
bahçe,باغچه
bahçıvan,باغچوان
bahâne,بهانه
bahar,بهار
bahârât,بهارات
bahâdır,بهادر
bahâriye,بهاریه
baharlı,بهارلی
bahir,بحر
bâhir,باهر
bâhis,باهث
bahis,بحث
bahnâme,باهنامه
bahren,بحراً
bahrî,بحری
bahriye,بحریه
bahriyeli,بحریه‌لی
bahşiş,بخشيش
baht,بخت
bahtiyar,بختیار
bahtiyarlık,بختیارلق
bâhusus,باخصوص
baid,بعید
bâis,باعث
bak,باق
bakaayâ,بقایا
bakayâ,بقایا
bakalorya,باقالوریا
baktırmak,باقدیرمق
bakkal,بقال
bakarî,بقری
bakla,باقلا
baklaçiçeği,باقلا چیچکی
baklava,باقلاوا
bakıcı,باقیجی
bakılmak,باقیلمق
bakım,باقیم
bakır,باقیر
Bakırköy,باقرکوی
bakış,باقیش
bâkire,باکره
bakıye,بقیه
bakliye,بقلیه
bakmak,باقمق
bakraç,باقراج
bakteri,باقته‌ری
bakteriyoloji,باقته‌رییولوژی
bakteriyolog,باقته‌رییولوغ
bal,بال
Bâlâ,بالا
bâlâ,بالا
balaban,بالابان
balarısı,بال آریسی
balcık,بالجیق
baldır,بالدیر
baldıran,بالدیران
baldız,بالدیز
balgam,بالغام
balık,بالیق
balıkçıl,بالیقجیل
balıkçın,بالیقجین
Balıkesir,بالیکسر
balıketi,بالیق اتی
balıketli,بالیق اتلی
balıkhâne,بالیقخانه
balıklama,بالیقلامه
balıklamak,بالیقلامق
balıksırtı,بالیق صیرتی
bâliğ,بالغ
balmumu,بالمومی
balina,بالینا
balkabağı,بال قاباغی
balkan,بالقان
balkon,بالقون
balo,بالو
balon,بالون
balpeteği,بال پتگی
balta,بالطا
baltabaş,بالطه‌باش
baltacı,بالطاجی
baltalamak,بالطالامق
baltalık,بالطالق
Balya,بالیه
balya,بالیا
balyoz,بالیوز
bambaşka,بامباشقه
bambu,بامبو
